registry_club_id,organism,affiliation_code,sport_year_start,sport_year_end
coni:115094,FIGC,933160,01/07/2025,30/06/2026
coni:115164,ASC|FIGC,950341,01/07/2025,30/06/2026
coni:115180,CSI|FIGC,935083,01/07/2025,30/06/2026
coni:11525,FIGC,700583,01/07/2025,30/06/2026
coni:115280,FIGC,964265,01/07/2025,30/06/2026
coni:115283,ASC|FIGC,936242,01/07/2025,30/06/2026
coni:11535,CSI|FIGC,912833,01/07/2025,30/06/2026
coni:115359,ASC|FIGC,953291,01/07/2025,30/06/2026
coni:115401,FIGC,938087,01/07/2025,30/06/2026
coni:115411,FIGC,938799,01/07/2025,30/06/2026
coni:115417,FIGC,938686,01/07/2025,30/06/2026
coni:11543,CSI|FIGC,80280,01/07/2025,30/06/2026
coni:11552,FIGC,912419,01/07/2025,30/06/2026
coni:115528,FIGC,940887,01/07/2025,30/06/2026
coni:115603,CSI|FIGC,09000295,07/09/2025,30/06/2026
coni:115629,FIGC,943460,01/07/2025,30/06/2026
coni:115659,ASC|FIGC,945877,01/07/2025,30/06/2026
coni:11568,CSI|FIGC,933808,01/07/2025,30/06/2026
coni:115769,ASC|FIGC,945402,01/07/2025,30/06/2026
coni:115776,ASC|FIGC,953186,01/07/2025,30/06/2026
coni:115891,FIGC,964885,16/10/2025,30/06/2026
coni:115930,FIGC,962361,01/07/2025,30/06/2026
coni:11595,FIGC,912771,01/07/2025,30/06/2026
coni:116071,FIGC,675869,01/07/2025,30/06/2026
coni:116245,FIGC,951413,01/07/2025,30/06/2026
coni:116271,CSI|FIGC|UISP,02000045,09/07/2025,30/06/2026
coni:11631,CSI|FIGC,11920,01/07/2025,30/06/2026
coni:116438,CSI|FIGC|FIP|PGS,81978,01/07/2025,30/06/2026
coni:116445,FIGC,910939,01/07/2025,30/06/2026
coni:11650,CSI|FIGC,676164,01/07/2025,30/06/2026
coni:11655,FIGC,21030,01/07/2025,30/06/2026
coni:116594,CSI|FIGC,952909,01/07/2025,30/06/2026
coni:11663,FIGC,700572,01/07/2025,30/06/2026
coni:11665,CSI|FIGC,11080,01/07/2025,30/06/2026
